Init complete
7368 0.00 0.00
7375 0.00 0.00
7379 0.00 0.00
7386 0.00 0.00
7393 0.00 0.00
7399 0.00 0.00
7406 0.00 0.00
7412 0.00 0.00
7419 0.00 0.00
7426 0.00 0.00
7433 0.00 0.00
7439 0.00 0.00
7446 0.00 0.00
7453 0.00 0.00
7458 0.00 0.00
7465 0.00 0.00
7470 0.00 0.00
7476 0.00 0.00
7483 0.00 0.00
7489 0.00 0.00
7496 0.00 0.00
7502 0.00 0.00
7510 0.00 0.00
7516 0.00 0.00
7523 0.00 0.00
7529 0.00 0.00
7536 0.00 0.00
7543 0.00 0.00
7546 0.00 0.00
7554 0.00 0.00
7560 0.00 0.00
7567 0.00 0.00
7574 0.00 0.00
7580 0.00 0.00
7587 0.00 0.00
7593 0.00 0.00
7601 0.00 0.00
7607 0.00 0.00
7614 0.00 0.00
7620 0.00 0.00
7627 0.00 0.00
7633 0.00 0.00
7641 0.00 0.00
7648 0.00 0.00
7654 0.00 0.00
7661 0.00 0.00
7667 0.00 0.00
7674 0.00 0.00
7681 0.00 0.00
7688 0.00 0.00
7694 0.00 0.00
7701 0.00 0.00
7707 0.00 0.00
7714 0.00 0.00
7721 0.00 0.00
7728 0.00 0.00
7735 0.00 0.00
7741 0.00 0.00
7748 0.00 0.00
7754 0.00 0.00
7761 0.00 0.00
7768 0.00 0.00
7775 0.00 0.00
7781 0.00 0.00
7788 0.00 0.00
7795 0.00 0.00
7801 0.00 0.00
7809 0.00 0.00
7815 0.00 0.00
7822 0.00 0.00
7828 0.00 0.00
7835 0.00 0.00
7841 0.00 0.00
7848 0.00 0.00
7855 0.00 0.00
7862 0.00 0.00
7869 0.00 0.00
7875 0.00 0.00
7882 0.00 0.00
7888 0.00 0.00
7896 0.00 0.00
7902 0.00 0.00
7909 0.00 0.00
7915 0.00 0.00
7922 0.00 0.00
7928 0.00 0.00
7936 0.00 0.00
7943 0.00 0.00
7949 0.00 0.00
7956 0.00 0.00
7962 0.00 0.00
7969 0.00 0.00
7975 0.00 0.00
7983 0.00 0.00
7988 0.00 0.00
7995 0.00 0.00
8002 10.00 0.00
8008 10.00 0.00
8015 10.00 0.28
8023 10.00 0.97
8029 10.00 1.79
8036 10.00 2.46
8043 10.00 3.08
8050 10.00 3.67
8056 10.00 4.33
8064 10.00 4.67
8071 10.00 5.04
8078 10.00 5.42
8084 10.00 5.73
8091 10.00 5.88
8098 10.00 6.19
8105 10.00 6.72
8113 10.00 6.77
8119 10.00 6.90
8126 10.00 7.00
8133 10.00 7.00
8138 10.00 7.18
8145 10.00 6.85
8150 10.00 6.88
8156 10.00 6.24
8163 10.00 6.48
8170 10.00 6.58
8177 10.00 6.75
8183 10.00 6.88
8190 10.00 6.99
8198 10.00 6.99
8205 10.00 7.07
8211 10.00 7.14
8218 10.00 7.20
8225 10.00 7.34
8232 10.00 7.36
8237 10.00 7.37
8243 10.00 6.64
8250 10.00 6.80
8257 10.00 6.92
8264 10.00 7.12
8271 10.00 7.18
8279 10.00 7.32
8285 10.00 7.34
8292 10.00 7.45
8299 10.00 7.45
8306 10.00 7.44
8313 10.00 7.44
8320 10.00 7.44
8327 10.00 7.44
8334 10.00 7.71
8341 10.00 7.66
8348 10.00 7.70
8354 10.00 7.74
8359 10.00 7.68
8367 10.00 7.16
8373 10.00 7.22
8380 10.00 7.17
8387 10.00 7.22
8394 10.00 7.26
8401 10.00 7.29
8408 10.00 7.32
8415 10.00 7.34
8422 10.00 7.36
8429 10.00 7.37
8436 10.00 7.38
8442 10.00 7.48
8450 10.00 7.47
8457 10.00 7.46
8461 10.00 7.46
8468 10.00 6.80
8472 10.00 6.93
8478 10.00 6.38
8485 10.00 6.59
8493 10.00 6.85
8500 10.00 6.96
8507 10.00 6.96
8514 10.00 7.06
8520 10.00 7.22
8527 10.00 7.36
8535 10.00 7.28
8542 10.00 7.40
8549 10.00 7.50
8555 10.00 7.48
8562 10.00 7.57
8569 10.00 7.54
8577 10.00 7.52
8583 10.00 7.59
8590 10.00 7.65
8597 10.00 7.61
8604 10.00 7.66
8611 10.00 7.52
8619 10.00 7.60
8625 10.00 7.66
8632 10.00 7.61
8639 10.00 7.76
8646 10.00 7.69
8650 10.00 7.73
8657 10.00 7.02
8664 10.00 7.10
8671 10.00 7.35
8678 10.00 7.27
8685 10.00 7.31
8692 10.00 7.24
8699 10.00 7.27
8706 10.00 7.31
8713 10.00 7.42
8720 10.00 7.42
8727 10.00 7.52
8734 10.00 7.59
8741 10.00 7.56
8748 10.00 7.63
8755 10.00 7.68
8762 10.00 7.63
8769 10.00 7.68
8776 10.00 7.72
8782 10.00 7.85
8790 10.00 7.86
8797 10.00 7.86
8804 10.00 7.78
8811 10.00 7.80
8817 10.00 7.73
8824 10.00 7.85
8832 10.00 7.86
8839 10.00 7.77
8843 10.00 7.80
8850 10.00 7.07
8856 10.00 7.24
8863 10.00 7.65
8870 10.00 7.60
8878 10.00 7.66
8885 10.00 7.71
8892 10.00 7.74
8898 10.00 7.77
8905 10.00 7.80
8912 10.00 7.72
8920 10.00 7.85
8927 10.00 7.86
8933 10.00 8.05
8940 10.00 8.02
8947 10.00 8.18
8954 10.00 8.03
8958 10.00 8.00
8966 10.00 7.24
8973 10.00 7.27
8979 10.00 7.40
8986 10.00 7.50
8993 10.00 7.39
9000 10.00 7.49
9008 10.00 7.57
9014 10.00 7.54
9021 10.00 7.70
9028 10.00 7.65
9035 10.00 7.79
9042 10.00 8.00
9050 10.00 7.88
9056 10.00 7.88
9063 10.00 7.79
9070 10.00 7.72
9077 10.00 7.85
9084 10.00 8.04
9091 10.00 8.01
9095 10.00 7.99
9102 10.00 7.13
9109 10.00 7.28
9116 10.00 7.50
9123 10.00 7.48
9129 10.00 7.57
9137 10.00 7.72
9144 10.00 7.66
9151 10.00 7.71
9158 10.00 7.75
9165 10.00 7.68
9171 10.00 7.72
9179 10.00 7.76
9186 10.00 7.69
9193 10.00 7.64
9197 10.00 7.60
9203 10.00 6.73
9210 10.00 6.96
9218 10.00 7.15
9225 10.00 7.20
9232 10.00 7.34
9238 10.00 7.36
9245 10.00 7.37
9252 10.00 7.38
9260 10.00 7.39
9267 10.00 7.49
9273 10.00 7.85
9280 10.00 7.67
9287 10.00 7.72
9294 10.00 7.66
9302 10.00 7.61
9307 10.00 7.67
9313 10.00 7.16
9317 10.00 7.21
9324 10.00 6.51
9331 10.00 6.69
9338 10.00 6.93
9345 10.00 7.12
9352 10.00 7.09
9359 10.00 7.25
9366 10.00 7.29
9372 10.00 7.32
9379 10.00 7.34
9387 10.00 7.45
9394 10.00 7.44
9401 10.00 7.53
9405 10.00 7.51
9411 10.00 6.85
9418 10.00 6.87
9425 10.00 7.07
9433 10.00 7.14
9440 10.00 7.39
9447 10.00 7.39
9453 10.00 7.40
9460 10.00 7.50
9467 10.00 7.48
9475 10.00 7.47
9482 10.00 7.46
9488 10.00 7.46
9495 10.00 7.45
9502 10.00 7.45
9509 10.00 7.44
9517 10.00 7.44
9520 10.00 7.44
9527 10.00 6.69
9534 10.00 6.93
9541 10.00 7.03
9548 10.00 7.20
9555 10.00 7.25
9562 10.00 7.38
9569 10.00 7.48
9576 10.00 7.56
9583 10.00 7.63
9590 10.00 7.59
9596 10.00 7.65
9604 10.00 7.60
9611 10.00 7.57
9618 10.00 7.54
9625 10.00 7.52
9631 10.00 7.59
9638 10.00 7.84
9646 10.00 7.76
9653 10.00 7.78
9660 10.00 7.80
9666 10.00 7.82
9673 10.00 7.84
9680 10.00 7.94
9684 10.00 7.93
9692 10.00 7.09
9699 10.00 7.15
9705 10.00 7.30
9712 10.00 7.51
9719 10.00 7.50
9726 10.00 7.57
9734 10.00 7.64
9741 10.00 7.69
9747 10.00 7.64
9754 10.00 7.69
9761 10.00 7.64
9768 10.00 7.69
9776 10.00 7.63
9782 10.00 7.78
9789 10.00 7.71
9796 10.00 7.65
9800 10.00 7.70
9807 10.00 6.90
9815 10.00 7.19
9821 10.00 7.33
9828 10.00 7.35
9835 10.00 7.46
9842 10.00 7.55
9849 10.00 7.52
9856 10.00 7.60
9863 10.00 7.65
9870 10.00 7.61
9877 10.00 7.67
9884 10.00 7.71
9888 10.00 7.56
9894 10.00 6.79
9902 10.00 6.92
9909 10.00 7.11
9916 10.00 7.18
9923 10.00 7.23
9929 10.00 7.17
9936 10.00 7.22
9944 10.00 7.26
9951 10.00 7.30
9958 10.00 7.32
9964 10.00 7.34
9971 10.00 7.36
9975 10.00 7.47
9982 10.00 6.81
9990 10.00 7.03
9997 10.00 7.11
10003 0.00 7.17
10010 0.00 7.22
10017 0.00 7.08
10023 0.00 6.68
10031 0.00 6.18
10038 0.00 5.50
10044 0.00 4.96
10051 0.00 4.34
10058 0.00 3.84
10061 0.00 3.35
10068 0.00 2.87
10076 0.00 2.57
10082 0.00 2.24
10089 0.00 1.89
10096 0.00 1.60
10102 0.00 1.38
10109 0.00 1.19
10116 0.00 1.14
10123 0.00 0.91
10130 0.00 0.73
10136 0.00 0.58
10142 0.00 0.47
10148 0.00 0.28
10152 0.00 0.22
10160 0.00 0.18
10166 0.00 0.14
10173 0.00 0.12
10179 0.00 0.09
10186 0.00 0.07
10192 0.00 0.06
10200 0.00 0.05
10207 0.00 0.04
10213 0.00 0.03
10220 0.00 0.02
10226 0.00 0.02
10230 0.00 0.02
10237 0.00 0.01
10244 0.00 0.01
10251 0.00 0.01
10258 0.00 0.01
10264 0.00 0.01
10271 0.00 0.00
10277 0.00 0.00
10285 0.00 0.00
10291 0.00 0.00
10298 0.00 0.00
10305 0.00 0.00
10311 0.00 0.00
10318 0.00 0.00
10323 0.00 0.00
10331 0.00 0.00
10335 0.00 0.00
10341 0.00 0.00
10348 0.00 0.00
10354 0.00 0.00
10361 0.00 0.00
10369 0.00 0.00
10375 0.00 0.00
10382 0.00 0.00
10388 0.00 0.00
10395 0.00 0.00
10402 0.00 0.00
10408 0.00 0.00
10413 0.00 0.00
10420 0.00 0.00
10426 0.00 0.00
10433 0.00 0.00
10439 0.00 0.00
10446 0.00 0.00
10452 0.00 0.00
10460 0.00 0.00
10467 0.00 0.00
10473 0.00 0.00
10480 0.00 0.00
10486 0.00 0.00
10493 0.00 0.00
10501 0.00 0.00
10506 0.00 0.00
10513 0.00 0.00
10519 0.00 0.00
10526 0.00 0.00
10532 0.00 0.00
10540 0.00 0.00
10546 0.00 0.00
10553 0.00 0.00
10560 0.00 0.00
10566 0.00 0.00
10573 0.00 0.00
10579 0.00 0.00
10587 0.00 0.00
10593 0.00 0.00
10600 0.00 0.00
10606 0.00 0.00
10613 0.00 0.00
10620 0.00 0.00
10627 0.00 0.00
10634 0.00 0.00
10640 0.00 0.00
10647 0.00 0.00
10652 0.00 0.00
10659 0.00 0.00
10663 0.00 0.00
10670 0.00 0.00
10677 0.00 0.00
10684 0.00 0.00
10690 0.00 0.00
10697 0.00 0.00
10703 0.00 0.00
10711 0.00 0.00
10718 0.00 0.00
10724 0.00 0.00
10731 0.00 0.00
10737 0.00 0.00
10743 0.00 0.00
10750 0.00 0.00
10758 0.00 0.00
10764 0.00 0.00
10771 0.00 0.00
10777 0.00 0.00
10784 0.00 0.00
10791 0.00 0.00
10798 0.00 0.00
10805 0.00 0.00
10811 0.00 0.00
10818 0.00 0.00
10824 0.00 0.00
10828 0.00 0.00
10835 0.00 0.00
10843 0.00 0.00
10849 0.00 0.00
10856 0.00 0.00
10862 0.00 0.00
10869 0.00 0.00
10875 0.00 0.00
10883 0.00 0.00
10890 0.00 0.00
10896 0.00 0.00
10903 0.00 0.00
10909 0.00 0.00
10916 0.00 0.00
10924 0.00 0.00
10930 0.00 0.00
10937 0.00 0.00
10943 0.00 0.00
10950 0.00 0.00
10957 0.00 0.00
10963 0.00 0.00
10971 0.00 0.00
10977 0.00 0.00
10984 0.00 0.00
10990 0.00 0.00
10997 0.00 0.00
11004 0.00 0.00
11010 0.00 0.00
11017 0.00 0.00
11023 0.00 0.00
11030 0.00 0.00
11036 0.00 0.00
11043 0.00 0.00
11051 0.00 0.00
11056 0.00 0.00
11063 0.00 0.00
11069 0.00 0.00
11076 0.00 0.00
11082 0.00 0.00
11089 0.00 0.00
11097 0.00 0.00
11100 0.00 0.00
11107 0.00 0.00
11114 0.00 0.00
11120 0.00 0.00
11127 0.00 0.00
11133 0.00 0.00
11141 0.00 0.00
11148 0.00 0.00
11154 0.00 0.00
11161 0.00 0.00
11167 0.00 0.00
11174 0.00 0.00
11180 0.00 0.00
11187 0.00 0.00
11193 0.00 0.00
11200 0.00 0.00
11207 0.00 0.00
11213 0.00 0.00
11220 0.00 0.00
11226 0.00 0.00
11233 0.00 0.00
11239 0.00 0.00
11246 0.00 0.00
11253 0.00 0.00
11259 0.00 0.00
11267 0.00 0.00
11271 0.00 0.00
11277 0.00 0.00
11284 0.00 0.00
11291 0.00 0.00
11297 0.00 0.00
11304 0.00 0.00
11311 0.00 0.00
11318 0.00 0.00
11323 0.00 0.00
11330 0.00 0.00
11337 0.00 0.00
11343 0.00 0.00
11351 0.00 0.00
11355 0.00 0.00
11361 0.00 0.00
11368 0.00 0.00
11374 0.00 0.00
11381 0.00 0.00
11388 0.00 0.00
11395 0.00 0.00
11402 0.00 0.00
11408 0.00 0.00
11415 0.00 0.00
11422 0.00 0.00
11428 0.00 0.00
11436 0.00 0.00
11442 0.00 0.00
11449 0.00 0.00
11456 0.00 0.00
11462 0.00 0.00
11469 0.00 0.00
11475 0.00 0.00
11483 0.00 0.00
11489 0.00 0.00
11495 0.00 0.00
11501 0.00 0.00
11505 0.00 0.00
11512 0.00 0.00
11518 0.00 0.00
11526 0.00 0.00
11533 0.00 0.00
11539 0.00 0.00
11546 0.00 0.00
11552 0.00 0.00
11559 0.00 0.00
11567 0.00 0.00
11573 0.00 0.00
11580 0.00 0.00
11584 0.00 0.00
11590 0.00 0.00
11597 0.00 0.00
11603 0.00 0.00
11611 0.00 0.00
11617 0.00 0.00
11624 0.00 0.00
11631 0.00 0.00
11637 0.00 0.00
11644 0.00 0.00
11651 0.00 0.00
11658 0.00 0.00
11664 0.00 0.00
11670 0.00 0.00
11674 0.00 0.00
11681 0.00 0.00
11687 0.00 0.00
11695 0.00 0.00
11701 0.00 0.00
11708 0.00 0.00
11715 0.00 0.00
11721 0.00 0.00
11728 0.00 0.00
11735 0.00 0.00
11742 0.00 0.00
11748 0.00 0.00
11752 0.00 0.00
11759 0.00 0.00
11765 0.00 0.00
11772 0.00 0.00
11780 0.00 0.00
11786 0.00 0.00
11793 0.00 0.00
11799 0.00 0.00
11806 0.00 0.00
11812 0.00 0.00
11820 0.00 0.00
11827 0.00 0.00
11833 0.00 0.00
11840 0.00 0.00
11846 0.00 0.00
11853 0.00 0.00
11860 0.00 0.00
11867 0.00 0.00
11874 0.00 0.00
11880 0.00 0.00
11887 0.00 0.00
11894 0.00 0.00
11900 0.00 0.00
11908 0.00 0.00
11914 0.00 0.00
11921 0.00 0.00
11927 0.00 0.00
11933 0.00 0.00
11940 0.00 0.00
11943 0.00 0.00
11951 0.00 0.00
11958 0.00 0.00
11964 0.00 0.00
11971 0.00 0.00
11977 0.00 0.00
11984 0.00 0.00
11992 0.00 0.00
11998 0.00 0.00
12005 10.00 0.00
12012 10.00 0.00
12018 10.00 0.28
12025 10.00 0.97
12032 10.00 1.70
12039 10.00 2.66
12046 10.00 3.24
12053 10.00 3.80
12060 10.00 4.34
12067 10.00 4.86
12073 10.00 5.28
12081 10.00 5.53
12088 10.00 5.81
12095 10.00 6.04
12102 10.00 6.14
12109 10.00 6.49
12112 10.00 6.86
12120 10.00 6.14
12127 10.00 6.40
12134 10.00 6.60
12141 10.00 6.77
12148 10.00 6.90
12155 10.00 7.00
12162 10.00 7.18
12169 10.00 7.32
12176 10.00 7.34
12183 10.00 7.36
12190 10.00 7.37
12197 10.00 7.38
12205 10.00 7.49
12211 10.00 7.47
12218 10.00 7.56
12225 10.00 7.72
12232 10.00 7.66
12239 10.00 7.71
12247 10.00 7.84
12254 10.00 7.75
12261 10.00 7.78
12267 10.00 7.80
12274 10.00 7.73
12281 10.00 7.76
12289 10.00 7.79
12296 10.00 7.71
12303 10.00 7.66
12309 10.00 7.61
12316 10.00 7.57
12323 10.00 7.54
12331 10.00 7.52
12338 10.00 7.60
12345 10.00 7.56
12349 10.00 7.53
12356 10.00 6.96
12360 10.00 7.05
12367 10.00 6.48
12371 10.00 6.76
12379 10.00 6.15
12386 10.00 6.50
12392 10.00 6.87
12399 10.00 7.17
12406 10.00 7.22
12413 10.00 7.35
12421 10.00 7.37
12428 10.00 7.47
12434 10.00 7.46
12438 10.00 7.46
12445 10.00 6.61
12452 10.00 6.87
